len_1,dir_1,len_2,dir_2,len_3,dir_3,len_4,dir_4,len_5,dir_5,len_6,dir_6,len_7,dir_7,len_8,dir_8,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,sum_len,min_len,max_len,n_fwd,n_bwd,n_small,n_large,iat_sum,iat_max,syn0,ack0,fin0,rst0,psh0,proto_tcp,port_src,port_dst,label
169,1,52,-1,169,-1,52,1,169,1,52,-1,185,1,52,-1,0.2880096435546875,99.87807273864746,0.5638599395751953,0.6201267242431641,0.31185150146484375,1.8510818481445312,0.27489662170410156,6613,52,1337,15,17,26,2,675.2009391784668,99.87807273864746,0,1,0,0,1,1,50226,443,ssh
52,1,233,-1,52,1,265,1,52,-1,169,-1,52,1,217,-1,0.26106834411621094,0.8089542388916016,1.703023910522461,0.3008842468261719,141.16716384887695,0.6148815155029297,142.6699161529541,5764,52,1053,16,16,22,0,1045.8900928497314,260.6930732727051,0,1,0,0,0,1,50226,443,ssh
265,1,52,-1,52,1,169,1,52,-1,169,-1,52,1,361,1,0.2970695495605469,0.0069141387939453125,40.956974029541016,0.2110004425048828,58.62998962402344,0.6079673767089844,0.5750656127929688,6375,52,1053,16,16,23,0,644.1869735717773,146.05093002319336,0,1,0,0,1,1,50226,443,ssh
52,1,249,1,52,-1,169,-1,52,1,233,-1,265,1,52,-1,3.921985626220703,0.2658367156982422,99.78508949279785,0.6120204925537109,0.3478527069091797,0.25916099548339844,0.2448558807373047,1397,52,265,6,5,8,0,148.70882034301758,99.78508949279785,0,1,0,0,0,1,50226,443,ssh
104,1,32,-1,104,-1,96,1,121,1,32,-1,96,-1,128,-1,108.63304138183594,1.3251304626464844,1.1849403381347656,2.1600723266601562,105.32784461975098,4.547119140625,7.124900817871094,5169,32,1264,9,16,22,1,684.9520206451416,108.63304138183594,0,0,0,0,0,0,0,0,ssh
104,1,32,-1,104,-1,96,1,183,1,32,-1,183,1,32,-1,104.73299026489258,15.411138534545898,1.2140274047851562,0.2579689025878906,103.15394401550293,287.3549461364746,102.61011123657227,6259,32,1264,16,16,28,1,2734.7700595855713,386.95287704467773,0,0,0,0,0,0,0,0,ssh
160,-1,192,1,96,-1,32,1,144,-1,176,1,183,1,96,-1,2.226114273071289,98.6490249633789,114.78590965270996,68.45808029174805,2.585887908935547,82.37218856811523,16.22295379638672,4215,32,752,12,13,21,0,1026.7581939697266,182.57379531860352,0,0,0,0,0,0,0,0,ssh
102,1,102,-1,94,1,119,1,94,-1,126,-1,94,1,1262,1,100.23188591003418,1.2869834899902344,2.145051956176758,100.19612312316895,4.031896591186523,1.0919570922851562,1.371145248413086,5443,94,1262,10,13,20,1,1010.1690292358398,183.60495567321777,0,0,0,0,0,0,1701,1701,ssh
102,1,102,-1,94,1,181,1,94,-1,94,1,94,-1,242,-1,120.83196640014648,1.2929439544677734,0.013113021850585938,25.177001953125,1.1260509490966797,94.3758487701416,0.164031982421875,6412,94,1262,16,16,28,1,1687.2310638427734,675.1229763031006,0,0,0,0,0,0,1701,1701,ssh
94,-1,142,-1,174,1,94,-1,750,-1,94,1,158,-1,94,1,182.92903900146484,2.5191307067871094,103.0728816986084,245.4819679260254,41.436195373535156,102.98585891723633,1.0991096496582031,3228,94,750,7,11,14,0,789.9470329284668,245.4819679260254,0,0,0,0,0,0,1701,1701,ssh
60,1,124,-1,124,1,124,-1,140,-1,124,1,156,1,124,-1,879.951000213623,104.28690910339355,1.4450550079345703,2.0051002502441406,104.3558120727539,4.81104850769043,1.2691020965576172,8240,60,1292,19,13,24,1,2467.1878814697266,879.951000213623,0,0,0,0,0,0,13231,13231,ssh
144,1,144,-1,144,1,176,1,144,-1,176,-1,144,1,1312,1,102.73909568786621,1.3239383697509766,2.0279884338378906,102.82111167907715,6.695985794067383,1.1649131774902344,1.5070438385009766,6576,144,1312,10,13,16,2,1035.6950759887695,182.98101425170898,0,0,0,0,0,0,4500,4500,ssh
144,1,144,-1,144,1,176,1,144,-1,176,-1,144,1,1312,1,102.49996185302734,2.196073532104492,1.6608238220214844,102.47302055358887,4.619121551513672,0.9958744049072266,1.8281936645507812,8208,144,1312,13,15,18,2,1438.1499290466309,257.3659420013428,0,0,0,0,0,0,4500,4500,ssh
148,1,172,-1,148,1,172,-1,148,1,172,-1,148,1,172,-1,0.30994415283203125,4.13203239440918,0.3199577331542969,0.49996376037597656,0.24199485778808594,5.124092102050781,0.2760887145996094,17860,40,4294,20,12,25,7,195.64008712768555,56.57196044921875,0,1,0,0,1,1,63964,445,ssh
