len_1,dir_1,len_2,dir_2,len_3,dir_3,len_4,dir_4,len_5,dir_5,len_6,dir_6,len_7,dir_7,len_8,dir_8,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,sum_len,min_len,max_len,n_fwd,n_bwd,n_small,n_large,iat_sum,iat_max,syn0,ack0,fin0,rst0,psh0,proto_tcp,port_src,port_dst,label,split,biflow_id,vpn
169,1,52,-1,169,-1,52,1,169,1,52,-1,185,1,52,-1,0.3008842468261719,99.90906715393066,0.6330013275146484,0.6420612335205078,0.31185150146484375,1.6520023345947266,0.26416778564453125,6613,52,1337,15,17,26,2,667.5920486450195,99.90906715393066,0,1,0,0,1,1,50226,443,ssh,train,VPN/SSTP|ssh|0,VPN/SSTP
52,1,233,-1,52,1,265,1,52,-1,169,-1,52,1,217,-1,0.33402442932128906,0.6000995635986328,1.4958381652832031,0.30303001403808594,99.89500045776367,0.6151199340820312,182.33299255371094,1666,52,265,7,6,9,0,388.9601230621338,182.33299255371094,0,1,0,0,0,1,50226,443,ssh,train,VPN/SSTP|ssh|0,VPN/SSTP
169,1,52,-1,169,-1,52,1,169,1,52,-1,185,1,52,-1,0.308990478515625,103.7900447845459,0.7359981536865234,0.5719661712646484,0.2651214599609375,1.9440650939941406,0.19788742065429688,6730,52,1337,16,16,26,2,634.268045425415,103.7900447845459,0,1,0,0,1,1,50226,443,ssh,test,VPN/SSTP|ssh|1,VPN/SSTP
52,-1,169,-1,52,1,233,-1,52,1,265,1,52,-1,169,-1,103.74689102172852,0.7681846618652344,0.17881393432617188,0.6489753723144531,1.3251304626464844,0.26702880859375,145.94101905822754,1614,52,265,6,6,8,0,396.259069442749,145.94101905822754,0,1,0,0,0,1,50226,443,ssh,test,VPN/SSTP|ssh|1,VPN/SSTP
169,1,52,-1,169,-1,52,1,169,1,52,-1,185,1,52,-1,0.3349781036376953,103.93285751342773,0.6170272827148438,0.7810592651367188,0.19502639770507812,1.934051513671875,0.26679039001464844,6613,52,1337,15,17,26,2,687.4899864196777,104.04610633850098,0,1,0,0,1,1,50226,443,ssh,train,VPN/SSTP|ssh|2,VPN/SSTP
52,1,233,-1,52,1,265,1,52,-1,169,-1,52,1,217,-1,0.28896331787109375,0.5700588226318359,1.8939971923828125,0.29087066650390625,144.989013671875,0.6349086761474609,141.48402214050293,5531,52,1053,16,15,22,0,965.9609794616699,254.01711463928223,0,1,0,0,0,1,50226,443,ssh,train,VPN/SSTP|ssh|2,VPN/SSTP
169,1,52,-1,169,-1,52,1,169,1,52,-1,185,1,52,-1,0.2880096435546875,99.87807273864746,0.5638599395751953,0.6201267242431641,0.31185150146484375,1.8510818481445312,0.27489662170410156,6613,52,1337,15,17,26,2,675.2009391784668,99.87807273864746,0,1,0,0,1,1,50226,443,ssh,calibration,VPN/SSTP|ssh|3,VPN/SSTP
52,1,233,-1,52,1,265,1,52,-1,169,-1,52,1,217,-1,0.26106834411621094,0.8089542388916016,1.703023910522461,0.3008842468261719,141.16716384887695,0.6148815155029297,142.6699161529541,5764,52,1053,16,16,22,0,1045.8900928497314,260.6930732727051,0,1,0,0,0,1,50226,443,ssh,calibration,VPN/SSTP|ssh|3,VPN/SSTP
265,1,52,-1,52,1,169,1,52,-1,169,-1,52,1,361,1,0.2970695495605469,0.0069141387939453125,40.956974029541016,0.2110004425048828,58.62998962402344,0.6079673767089844,0.5750656127929688,6375,52,1053,16,16,23,0,644.1869735717773,146.05093002319336,0,1,0,0,1,1,50226,443,ssh,calibration,VPN/SSTP|ssh|3,VPN/SSTP
52,1,249,1,52,-1,169,-1,52,1,233,-1,265,1,52,-1,3.921985626220703,0.2658367156982422,99.78508949279785,0.6120204925537109,0.3478527069091797,0.25916099548339844,0.2448558807373047,1397,52,265,6,5,8,0,148.70882034301758,99.78508949279785,0,1,0,0,0,1,50226,443,ssh,calibration,VPN/SSTP|ssh|3,VPN/SSTP
