len_1,dir_1,len_2,dir_2,len_3,dir_3,len_4,dir_4,len_5,dir_5,len_6,dir_6,len_7,dir_7,len_8,dir_8,iat_2,iat_3,iat_4,iat_5,iat_6,iat_7,iat_8,sum_len,min_len,max_len,n_fwd,n_bwd,n_small,n_large,iat_sum,iat_max,syn0,ack0,fin0,rst0,psh0,proto_tcp,port_src,port_dst,label,split,biflow_id,vpn
1412,-1,104,1,1412,-1,1412,-1,1412,-1,1412,-1,1412,-1,107,1,0.3569999999999962,4.659999999999998,1.2210000000000276,1.21899999999997,1.5390000000000121,1.2220000000000013,0.13099999999999135,30791,87,1412,10,22,8,19,578.2300000000001,428.78999999999996,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-100,quic
180,-1,116,1,1412,-1,1412,-1,1071,-1,104,1,92,-1,297,-1,0.8829999999999671,0.3810000000000757,1.2249999999999206,1.2110000000000731,0.2769999999999717,0.9580000000000144,1.2219999999999454,12008,80,1412,14,18,17,3,1003.391,292.5100000000001,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-100,quic
98,1,303,-1,98,1,355,-1,1412,-1,1412,-1,104,1,1412,-1,37.360000000000056,2.650000000000041,384.02999999999963,1.230000000000075,1.2199999999999704,0.5399999999999636,0.7000000000001592,27610,87,1412,21,11,10,17,1238.469999999999,384.02999999999963,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-100,quic
87,-1,374,-1,80,-1,110,1,1342,1,87,-1,311,-1,333,-1,112.30999999999992,3.8200000000001637,11.799999999999145,140.78000000000037,18.57000000000039,132.8199999999997,1.2699999999998681,13802,80,1412,12,20,15,5,2136.819999999999,1341.9000000000008,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-100,quic
101,1,701,-1,616,-1,101,1,558,-1,654,-1,583,-1,104,1,0.5100000000002325,1.3100000000001444,1.2100000000003774,0.009999999999621423,1.2199999999999989,1.2100000000003774,0.5299999999994753,12663,87,1412,15,17,15,2,1771.190000000001,821.1200000000007,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-100,quic
109,1,302,1,477,1,87,1,87,-1,87,-1,311,-1,151,-1,7.30000000000075,3.0999999999998806,0.09999999999976694,8.20000000000043,6.800000000000139,65.39999999999857,1.200000000000756,10589,87,1412,17,15,19,4,1042.6999999999998,451.8000000000004,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-100,quic
1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,1412,1,0.0,0.09999999999976694,0.0,0.0,0.1000000000015433,0.0,0.0,41885,87,1412,30,2,2,29,20.800000000001262,10.999999999999233,0,0,0,0,0,0,0,0,google-doc,test,GoogleDoc-100,quic
110,1,1412,-1,1412,-1,1412,-1,180,-1,104,1,1412,-1,1412,-1,0.3870000000000262,1.2179999999999414,1.1910000000000531,1.1670000000000291,0.05199999999994098,1.1809999999999876,1.2530000000000596,29069,98,1412,11,21,8,17,406.40999999999997,366.7230000000001,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1000,quic
101,1,328,1,144,1,87,-1,155,1,190,1,87,-1,1412,-1,63.72,0.0700000000000145,17.31000000000015,23.699999999999832,0.08000000000008356,19.68000000000015,10.609999999999786,15588,86,1412,15,17,16,7,1411.1700000000003,763.2100000000003,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1000,quic
101,1,1412,-1,180,-1,1412,-1,1354,-1,113,1,1412,-1,1412,-1,0.16000000000016001,1.1799999999997368,1.2199999999999989,1.2099999999994893,0.9600000000000719,0.300000000000189,1.2100000000003774,27677,98,1412,8,24,13,18,50.349999999999895,16.169999999999796,0,0,0,0,0,0,0,0,google-doc,calibration,GoogleDoc-1000,quic
